hardware_id	provider	inf_source	evidence
HID\FUJ02E5&Col02	ELAN	ETD.inf	HP-SOFTWARE
HID\FUJ02E6&Col02	ELAN	ETD.inf	HP-SOFTWARE
HID\ITEirDevice&Col05	ELAN	ETD.inf	HP-SOFTWARE
HID\IrDevice&Col08	ELAN	ETD.inf	HP-SOFTWARE
HID\IrDeviceV2&Col08	ELAN	ETD.inf	HP-SOFTWARE
HID\TOS_BT_MOU_0004&0005	ELAN	ETD.inf	HP-SOFTWARE
HID\VEN_ELAN&DEV_0143&Col01	ELAN	ETD.inf	HP-SOFTWARE
HID\VEN_ELAN&DEV_0143&Col02	ELAN HID Device	ETDHCF.inf	HP-SOFTWARE
HID\VEN_ELAN&DEV_0143&Col03	ELAN	PTPFilter.inf	HP-SOFTWARE
HID\VEN_ELAN&DEV_0143&Col05	ELAN	ElanHidConsumerControlDriver.inf	HP-SOFTWARE
HID\VEN_ELAN&DEV_0147&Col01	ELAN	ETD.inf	HP-SOFTWARE
HID\VEN_ELAN&DEV_0147&Col02	ELAN HID Device	ETDHCF.inf	HP-SOFTWARE
HID\VEN_ELAN&DEV_0147&Col03	ELAN	PTPFilter.inf	HP-SOFTWARE
HID\VEN_ELAN&DEV_0147&Col05	ELAN	ElanHidConsumerControlDriver.inf	HP-SOFTWARE
HID\VEN_ELAN&DEV_014B&Col01	ELAN	ETD.inf	HP-SOFTWARE
HID\VEN_ELAN&DEV_014B&Col02	ELAN HID Device	ETDHCF.inf	HP-SOFTWARE
HID\VEN_ELAN&DEV_014B&Col03	ELAN	PTPFilter.inf	HP-SOFTWARE
HID\VEN_ELAN&DEV_014B&Col05	ELAN	ElanHidConsumerControlDriver.inf	HP-SOFTWARE
HID\VEN_ELAN&DEV_0183&Col01	ELAN	ETD.inf	HP-SOFTWARE
HID\VEN_ELAN&DEV_0183&Col02	ELAN HID Device	ETDHCF.inf	HP-SOFTWARE
