subsystem	series_title	version	author	date	message_id	base_commit	status	mainline_commit	dependency	source_url	notes
arm64: dts: qcom	X2 Elite HP EliteBook X G2q support	v5	Jason Pettit	2026-08-29	20260829-glymur-send-v5-0-a11bdf6a4b66	UNKNOWN	Applied (Maintainer Tree)	UNKNOWN	DP PHY series (runtime)	lkml.iu.edu	Applied by Bjorn Andersson
arm64: dts: qcom	Add HP OmniBook Ultra 14-kg0xxx	v1	Jason Pettit	2026-08-30	UNKNOWN	UNKNOWN	Under Review	UNKNOWN	PCIe3 (compile), DP PHY (runtime)	lkml.iu.edu	Reviewed by Abel Vesa
